No,Score,Balls,Strike Rate,Player,Team,Opposition,Innings,Venue,City,Date,Result
18,106,55,192.72,Adam Gilchrist,Punjab Kings,Royal Challengers Bengaluru,1,HPCA Stadium, Dharmasala,17-May-11,Won
19,103*,60,171.66,Ajinkya Rahane,Rajasthan Royals,Royal Challengers Bengaluru,1,M. Chinnaswamy Stadium, Bengaluru,15-Apr-12,Won
20,103*,64,160.93,Kevin Pietersen,Delhi Capitals,Sunrisers Hyderabad,2,Feroz Shah Kotla Ground, Delhi,19-Apr-12,Won
21,109*,54,201.85,David Warner,Delhi Capitals,Sunrisers Hyderabad,2,Rajiv Gandhi International Cricket Stadium, Hyderabad,10-May-12,Won
22,109*,60,181.66,Rohit Sharma,Mumbai Indians,Kolkata Knight Riders,1,Eden Gardens, Kolkata,12-May-12,Won
23,128*,62,206.45,Chris Gayle,Royal Challengers Bengaluru,Delhi Capitals,1,Feroz Shah Kotla Ground, Delhi,17-May-12,Won
24,113,58,194.82,Murali Vijay,Chennai Super Kings,Delhi Capitals,1,MA Chidambaram Stadium, Chennai,25-May-12,Won
25,101,58,165.57,Shane Watson,Rajasthan Royals,Chennai Super Kings,1,MA Chidambaram Stadium, Chennai,22-Apr-13,Lost
26,175*,66,265.15,Chris Gayle,Royal Challengers Bengaluru,Pune Warriors India,1,M. Chinnaswamy Stadium, Bengaluru,23-Apr-13,Won
27,100*,53,188.67,Suresh Raina,Chennai Super Kings,Punjab Kings,1,MA Chidambaram Stadium, Chennai,02-May-13,Won
28,101*,38,265.78,David Miller,Punjab Kings,Royal Challengers Bengaluru,2,PCA Stadium, Mohali,06-May-13,Won
29,100*,61,163.93,Lendl Simmons,Mumbai Indians,Punjab Kings,2,PCA Stadium, Mohali,21-May-14,Won
30,122,58,210.34,Virender Sehwag,Punjab Kings,Chennai Super Kings,1,Wankhede Stadium, Mumbai,30-May-14,Won
31,115*,55,209.09,Wriddhiman Saha,Punjab Kings,Kolkata Knight Riders,1,M. Chinnaswamy Stadium, Bengaluru,01-Jun-14,Lost
32,100*,56,178.57,Brendon McCullum,Chennai Super Kings,Sunrisers Hyderabad,1,MA Chidambaram Stadium, Chennai,11-Apr-15,Won
